bay_id,st_marker_id,status,location,lat,lon
1997,3415S,Unoccupied,"(-37.81028311079331, 144.96536663078794)",-37.81028311079331,144.96536663078794
1954,3323S,Unoccupied,"(-37.808785748142974, 144.97048715040617)",-37.808785748142974,144.97048715040617
1507,1866N,Present,"(-37.81962558303931, 144.95611639669445)",-37.81962558303931,144.95611639669445
6218,13314E,Unoccupied,"(-37.81969216491619, 144.94708101840905)",-37.81969216491619,144.94708101840905
5311,7809W,Unoccupied,"(-37.82956030917069, 144.9710350647198)",-37.82956030917069,144.9710350647198
1988,3406N,Present,"(-37.81014835873373, 144.96564175102992)",-37.81014835873373,144.96564175102992
1127,C1170,Unoccupied,"(-37.81356448865578, 144.96004165253257)",-37.81356448865578,144.96004165253257
6074,13213S,Unoccupied,"(-37.81879601912946, 144.94773866231958)",-37.81879601912946,144.94773866231958
2570,C3130,Present,"(-37.81354328735705, 144.9579400979572)",-37.81354328735705,144.9579400979572
5318,7823W,Unoccupied,"(-37.82918128727978, 144.971038392475)",-37.82918128727978,144.971038392475
4883,9304N,Unoccupied,"(-37.829146675759404, 144.96931992163593)",-37.829146675759404,144.96931992163593
705,448E,Unoccupied,"(-37.81174571141888, 144.97053739153296)",-37.81174571141888,144.97053739153296
4067,C6172,Unoccupied,"(-37.80378588076532, 144.95250516614124)",-37.80378588076532,144.95250516614124
687,350E,Unoccupied,"(-37.813708960965684, 144.97144303945288)",-37.813708960965684,144.97144303945288
1102,C1120,Unoccupied,"(-37.81459292054795, 144.96051235527094)",-37.81459292054795,144.96051235527094
6195,13303W,Unoccupied,"(-37.8206795643909, 144.94724755782056)",-37.8206795643909,144.94724755782056
5138,9951S,Unoccupied,"(-37.82609991914787, 144.9671176176633)",-37.82609991914787,144.9671176176633
1991,3409S,Unoccupied,"(-37.81022373328669, 144.96556979024575)",-37.81022373328669,144.96556979024575
6171,13232N,Unoccupied,"(-37.81940787606811, 144.94496637047354)",-37.81940787606811,144.94496637047354
3040,5143W,Unoccupied,"(-37.80295473347809, 144.95692438957946)",-37.80295473347809,144.95692438957946
1957,3337S,Present,"(-37.808937345151946, 144.96996487749686)",-37.808937345151946,144.96996487749686
4987,9419S,Unoccupied,"(-37.83009693501285, 144.96648061028844)",-37.83009693501285,144.96648061028844
5153,9976N,Unoccupied,"(-37.826039843690374, 144.9669767828271)",-37.826039843690374,144.9669767828271
5346,8873W,Unoccupied,"(-37.82539182057477, 144.9605934088404)",-37.82539182057477,144.9605934088404
4128,C6418,Unoccupied,"(-37.80354154461598, 144.95104250013748)",-37.80354154461598,144.95104250013748
6152,C13712,Present,"(-37.820047293312655, 144.94306604406387)",-37.820047293312655,144.94306604406387
6518,13750E,Unoccupied,"(-37.81276044529915, 144.93652689131466)",-37.81276044529915,144.93652689131466
6128,C13616,Unoccupied,"(-37.81964805193297, 144.94444535818434)",-37.81964805193297,144.94444535818434
5302,9537S,Unoccupied,"(-37.82821393553013, 144.96513905809988)",-37.82821393553013,144.96513905809988
3998,C5964,Unoccupied,"(-37.803803046432606, 144.95401565882918)",-37.803803046432606,144.95401565882918
6325,13468E,Unoccupied,"(-37.818566865340514, 144.949707222129)",-37.818566865340514,144.949707222129
3013,5088E,Present,"(-37.80463759165694, 144.95782799435162)",-37.80463759165694,144.95782799435162
5900,C9040,Unoccupied,"(-37.80289341662337, 144.9672204729588)",-37.80289341662337,144.9672204729588
3931,C5778,Unoccupied,"(-37.804235053458356, 144.95544037232816)",-37.804235053458356,144.95544037232816
4050,C6138,Unoccupied,"(-37.804293831844774, 144.95241519870225)",-37.804293831844774,144.95241519870225
2525,C2984,Unoccupied,"(-37.81309344441904, 144.9594816714548)",-37.81309344441904,144.9594816714548
697,427W,Present,"(-37.81274444185388, 144.97074694702604)",-37.81274444185388,144.97074694702604
3112,5269W,Unoccupied,"(-37.80455279188191, 144.9573069024395)",-37.80455279188191,144.9573069024395
1728,2334N,Present,"(-37.81171268847814, 144.9715458485505)",-37.81171268847814,144.9715458485505
3983,C5934,Unoccupied,"(-37.80417444761916, 144.95394938904724)",-37.80417444761916,144.95394938904724
6222,13322E,Present,"(-37.81819067770749, 144.94645995311902)",-37.81819067770749,144.94645995311902
3606,7554N,Present,"(-37.80598354787373, 144.95884461925414)",-37.80598354787373,144.95884461925414
1451,1723S,Unoccupied,"(-37.81438924924986, 144.97416454685344)",-37.81438924924986,144.97416454685344
3065,5188E,Unoccupied,"(-37.811058034416554, 144.95744272881177)",-37.811058034416554,144.95744272881177
877,775W,Present,"(-37.81221754261522, 144.96770542370388)",-37.81221754261522,144.96770542370388
3149,5333W,Present,"(-37.81074368237368, 144.95582326375552)",-37.81074368237368,144.95582326375552
4495,3690N,Unoccupied,"(-37.80870708888169, 144.96661078530911)",-37.80870708888169,144.96661078530911
4855,9258N,Unoccupied,"(-37.828873524092046, 144.97026029544227)",-37.828873524092046,144.97026029544227
6689,3455S,Unoccupied,"(-37.81192928003044, 144.9597489779067)",-37.81192928003044,144.9597489779067
5152,9974N,Unoccupied,"(-37.82603239661488, 144.96700237253026)",-37.82603239661488,144.96700237253026
4032,C6102,Unoccupied,"(-37.80478102145965, 144.9523285559688)",-37.80478102145965,144.9523285559688
4701,8647W,Present,"(-37.82559708599776, 144.962441644129)",-37.82559708599776,144.962441644129
2460,C2800,Unoccupied,"(-37.81036428788403, 144.9687978547135)",-37.81036428788403,144.9687978547135
2020,3466N,Unoccupied,"(-37.81212780897975, 144.9588953880802)",-37.81212780897975,144.9588953880802
6753,13090N,Unoccupied,"(-37.82136677470263, 144.94474255993526)",-37.82136677470263,144.94474255993526
4956,9385S,Present,"(-37.829805461832635, 144.96748598554854)",-37.829805461832635,144.96748598554854
6699,C146,Unoccupied,"(-37.80861319837623, 144.9717777829774)",-37.80861319837623,144.9717777829774
1129,C1174,Unoccupied,"(-37.81352251237378, 144.96002258658945)",-37.81352251237378,144.96002258658945
6090,13247S,Unoccupied,"(-37.82007900996949, 144.94327625545057)",-37.82007900996949,144.94327625545057
4564,8005W,Unoccupied,"(-37.83007076061647, 144.96917903594934)",-37.83007076061647,144.96917903594934
771,C328,Unoccupied,"(-37.81449552798777, 144.97167818511426)",-37.81449552798777,144.97167818511426
4595,8323W,Unoccupied,"(-37.824973793951415, 144.96819605726662)",-37.824973793951415,144.96819605726662
1026,1188E,Unoccupied,"(-37.81336912163323, 144.96007932477016)",-37.81336912163323,144.96007932477016
2672,10181W,Present,"(-37.80404052141371, 144.94935384858712)",-37.80404052141371,144.94935384858712
5047,9824N,Unoccupied,"(-37.82505449827978, 144.97033834966942)",-37.82505449827978,144.97033834966942
660,C184,Unoccupied,"(-37.80816240166074, 144.97157039480527)",-37.80816240166074,144.97157039480527
5306,9529S,Unoccupied,"(-37.82825972899688, 144.96537712369843)",-37.82825972899688,144.96537712369843
2643,10117W,Unoccupied,"(-37.80331023671215, 144.94795352191855)",-37.80331023671215,144.94795352191855
5084,9878N,Unoccupied,"(-37.825421146290815, 144.96907762374056)",-37.825421146290815,144.96907762374056
1858,2589S,Unoccupied,"(-37.814799658890806, 144.95750685549427)",-37.814799658890806,144.95750685549427
5074,9854N,Unoccupied,"(-37.82520231330287, 144.9698326288035)",-37.82520231330287,144.9698326288035
5105,9903S,Unoccupied,"(-37.82570064826507, 144.9684826956871)",-37.82570064826507,144.9684826956871
1410,1601S,Unoccupied,"(-37.81626264902319, 144.9718480525657)",-37.81626264902319,144.9718480525657
4907,9329S,Unoccupied,"(-37.8295249771529, 144.96845256736603)",-37.8295249771529,144.96845256736603
4710,8658E,Unoccupied,"(-37.82546157115391, 144.96280211437653)",-37.82546157115391,144.96280211437653
4893,9315S,Unoccupied,"(-37.82946744191621, 144.96866459989212)",-37.82946744191621,144.96866459989212
3034,5134E,Present,"(-37.80304266348515, 144.95709170045342)",-37.80304266348515,144.95709170045342
3101,5257W,Present,"(-37.80488415783765, 144.9572435399454)",-37.80488415783765,144.9572435399454
5160,C1117,Present,"(-37.81547621447945, 144.96091734719693)",-37.81547621447945,144.96091734719693
5143,9956N,Unoccupied,"(-37.82593703115003, 144.96732970469938)",-37.82593703115003,144.96732970469938
2499,C2930,Unoccupied,"(-37.812479771707125, 144.96153589674594)",-37.812479771707125,144.96153589674594
4110,C6372,Unoccupied,"(-37.804101990803616, 144.95094279543164)",-37.804101990803616,144.95094279543164
3141,5322E,Unoccupied,"(-37.81098101145999, 144.95618479598733)",-37.81098101145999,144.95618479598733
6181,13252N,Present,"(-37.819856522512254, 144.94341564246469)",-37.819856522512254,144.94341564246469
3994,C5956,Unoccupied,"(-37.803902056120215, 144.95399801006752)",-37.803902056120215,144.95399801006752
4843,9243S,Unoccupied,"(-37.82887149442608, 144.97069298189086)",-37.82887149442608,144.97069298189086
949,C802,Present,"(-37.8114017627735, 144.9674554739191)",-37.8114017627735,144.9674554739191
585,20E,Unoccupied,"(-37.814474613640314, 144.9746042219984)",-37.814474613640314,144.9746042219984
4805,9130N,Unoccupied,"(-37.83018372512101, 144.97010715551073)",-37.83018372512101,144.97010715551073
5091,9889S,Unoccupied,"(-37.82557149268495, 144.96892735783138)",-37.82557149268495,144.96892735783138
4917,9339S,Present,"(-37.8295696721793, 144.96829860997644)",-37.8295696721793,144.96829860997644
4439,C7718,Present,"(-37.80357997154879, 144.95434658469168)",-37.80357997154879,144.95434658469168
2568,C3126,Unoccupied,"(-37.813526021826746, 144.95799921182322)",-37.813526021826746,144.95799921182322
6507,13728E,Unoccupied,"(-37.81424102883436, 144.93742363487377)",-37.81424102883436,144.93742363487377
2559,C3108,Unoccupied,"(-37.813447522882825, 144.95826797455)",-37.813447522882825,144.95826797455
6274,13351W,Present,"(-37.81969089443905, 144.94843245548836)",-37.81969089443905,144.94843245548836
5101,9899S,Unoccupied,"(-37.82566463754131, 144.96860805477692)",-37.82566463754131,144.96860805477692
6270,13343W,Unoccupied,"(-37.8193114248518, 144.9484171399792)",-37.8193114248518,144.9484171399792
1109,C1134,Unoccupied,"(-37.814400894214025, 144.96042410149624)",-37.814400894214025,144.96042410149624
1036,1211W,Unoccupied,"(-37.81247081755339, 144.95941713343254)",-37.81247081755339,144.95941713343254
6430,13687W,Unoccupied,"(-37.8203897398962, 144.94606245414275)",-37.8203897398962,144.94606245414275
5096,9894N,Unoccupied,"(-37.82548875847726, 144.96884326235067)",-37.82548875847726,144.96884326235067
